state_orig,dms_orig,county_orig,dms_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
1,11,1009,41,4,3133,7,0.00031215652483560045,0.0008859179105658137
1,11,1043,41,4,3133,7,0.0019965019147968267,0.005666185596245246
1,11,1073,41,4,3133,7,0.08761878588918481,0.24866708060047996
1,11,1117,41,4,3133,7,0.016123144093450014,0.04575839679962939
1,11,1121,41,4,3133,7,0.0007367255539303384,0.002090868879778005
1,11,1127,41,4,3133,7,0.002087961976284674,0.00592575443471885
1,19,1015,41,4,3133,5,0.04329067733241012,0.10183692376855163
1,19,1015,41,4,3133,7,0.011602686581446722,0.05309637489811474
1,19,1031,41,4,3133,5,0.09678836697976885,0.22768480784249656
1,19,1031,41,4,3133,7,0.02594103756273531,0.11871173508035307
1,19,1039,41,4,3133,5,0.00600516440337759,0.014126539644288274
1,19,1039,41,4,3133,7,0.001609492960977231,0.007365383961036738
1,19,1053,41,4,3133,5,2.475645864805697e-05,0.0001251630688329101
1,19,1055,41,4,3133,5,0.26014575688694364,0.6119664843629959
1,19,1055,41,4,3133,7,0.06972378046838013,0.3190709290538603
1,19,1061,41,4,3133,5,0.00896934090499242,0.021099463955765577
1,19,1061,41,4,3133,7,0.002345594341382462,0.010727127692413864
1,19,1069,41,4,3133,7,0.08265769869186135,0.37825930461453894
1,19,1081,41,4,3133,5,0.008260746369154182,0.018434383171675776
1,19,1081,41,4,3133,7,0.002256847894774873,0.010321262770158589
1,19,1083,41,4,3133,5,0.003958892109249214,0.009791262101463935
1,19,1085,41,4,3133,5,0.032619623488698575,0.07885956673900013
1,19,1089,41,4,3133,5,0.018566668313269183,0.04585957777503983
1,19,1089,41,4,3133,7,0.003626446734368143,0.017018847649146553
1,19,1095,41,4,3133,5,1.113326907568104,2.691523327978006
1,19,1095,41,4,3133,7,0.06868761654120076,0.2843041030829964
1,19,1101,41,4,3133,5,0.46629789167605395,1.0969184539069197
1,19,1101,41,4,3133,7,0.12497629106523934,0.5719182326605993
1,19,1103,41,4,3133,5,0.5277977934896545,1.3053668526499935
1,19,1103,41,4,3133,7,0.102960521969508,0.4831918309096497
1,19,1105,41,4,3133,5,0.0025344167087610657,0.012524240458484937
1,19,1109,41,4,3133,5,0.05295394258381035,0.12456877430546609
1,19,1109,41,4,3133,7,0.014192616907656743,0.0649484498977393
1,19,1125,41,4,3133,5,0.10853494056321168,0.26843218276608954
4,41,4013,41,4,3133,2,247.5131586015575,60.856529795680444
4,41,4013,41,4,3133,3,114.92963605724442,176.64614948072185
4,41,4013,41,4,3133,4,426.11344836627603,127.49261611715377
