state_orig,dms_orig,county_orig,dms_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
1,19,1015,41,4,999999,5,0.13154957679984,0.30945702515772355
1,19,1015,41,4,999999,7,0.033921591619867485,0.15523245699571878
1,19,1031,41,4,999999,5,0.2941157195940632,0.6918773731685065
1,19,1031,41,4,999999,7,0.07584116628694013,0.3470653946923669
1,19,1039,41,4,999999,5,0.01824819763876412,0.042927032478214784
1,19,1039,41,4,999999,7,0.00470551044829769,0.02153342203083601
1,19,1053,41,4,999999,5,7.237793370686865e-05,0.0003659265013353439
1,19,1055,41,4,999999,5,0.7905181053642405,1.8596135933721627
1,19,1055,41,4,999999,7,0.2038443071472485,0.9328351392723052
1,19,1061,41,4,999999,5,0.027255591109494836,0.06411601123197098
1,19,1061,41,4,999999,7,0.007069319154492755,0.032355520822101025
1,19,1069,41,4,999999,7,0.25117614119708864,1.1494357332540746
1,19,1081,41,4,999999,5,0.025102348955383002,0.05601749508743555
1,19,1081,41,4,999999,7,0.006801848797906528,0.031131337488077906
1,19,1083,41,4,999999,5,0.011596301684662512,0.028732770611147623
1,19,1085,41,4,999999,5,0.09536666693615896,0.23055367388080394
1,19,1089,41,4,999999,5,0.05446968626342349,0.13500474305956423
1,19,1089,41,4,999999,7,0.010602272524636244,0.04975626944178886
1,19,1095,41,4,999999,5,3.2549203525263386,7.868932296508902
1,19,1095,41,4,999999,7,0.20081498033209336,0.8311909153915635
1,19,1101,41,4,999999,5,1.4169630528446038,3.3332617387198686
1,19,1101,41,4,999999,7,0.3653804382219328,1.6720590177184809
1,19,1103,41,4,999999,5,1.5460139536275372,3.8306406213944775
1,19,1103,41,4,999999,7,0.30101517908816594,1.4126586844449156
1,19,1105,41,4,999999,5,0.007568219735758864,0.03738440897397874
1,19,1109,41,4,999999,5,0.1609138310147908,0.37853345228420654
1,19,1109,41,4,999999,7,0.04149350681665392,0.18988316010341014
1,19,1125,41,4,999999,5,0.31791821534045434,0.7877227932560942
4,41,4013,41,4,999999,4,223.56160193925845,65.39694508809369
4,41,4013,41,4,999999,5,18.110360626303375,98.45933274969973
4,41,4013,41,4,999999,6,41.54854365429366,66.82300190686689
4,41,4013,41,4,999999,7,1165.1327795999644,1016.6497336172465
4,41,4013,41,4,999999,43,5.780223641894498,65.45093097559001
4,41,4021,41,4,999999,4,17.247292798882214,2.7275395041061894
4,41,4021,41,4,999999,5,2.6280507083164046,13.830357272455757
4,41,4021,41,4,999999,6,6.053409420065865,10.04064298080026
4,41,4021,41,4,999999,7,54.43264279426936,80.49041532768746
4,41,4021,41,4,999999,43,0.9198118133435654,10.23017724027429
4,42,4019,41,4,999999,3,0.0011122099140550843,0.0011157001221293727
4,42,4019,41,4,999999,6,0.3757344637637485,1.2893642833081145
4,42,4019,41,4,999999,7,3.8155665803233925,4.086333138132055
4,42,4023,41,4,999999,3,0.0010054909964094462,0.0010086463115616892
4,42,4023,41,4,999999,6,0.06566095667322878,0.2252781903927166
4,42,4023,41,4,999999,7,0.6501359663156029,0.6932596206303315
4,49,4003,41,4,999999,4,1.4888597733176323,2.443362309413816
4,49,4003,41,4,999999,6,0.007343675813823709,0.025407770149132092
4,49,4005,41,4,999999,4,25.487887373454477,41.82807842011394
4,49,4005,41,4,999999,6,0.12571686427716297,0.4349572710455259
4,49,4015,41,4,999999,6,0.002958963795311758,0.006621326603855089
4,49,4015,41,4,999999,7,0.0002723029436077295,0.0190559130702585
4,49,4017,41,4,999999,4,0.41350278340025104,0.6785979001545192
4,49,4017,41,4,999999,6,0.00203956775770674,0.007056530013735923
4,49,4025,41,4,999999,4,1.12665473230358,1.8489489460106427
4,49,4025,41,4,999999,6,0.005557129863016795,0.019226649137020047
4,49,4025,41,4,999999,7,0.0014100208241523294,0.10085066572558737
4,49,4027,41,4,999999,4,9.368974551351059,15.375389749175985
4,49,4027,41,4,999999,6,0.05939005438471549,0.189372104176215
4,49,4027,41,4,999999,7,0.004652607002022496,0.3327612528923722
5,50,5001,41,4,999999,43,0.0731239215989533,0.4752985130163204
5,50,5007,41,4,999999,5,7.212257364496568,29.612788405472795
5,50,5007,41,4,999999,7,0.5572672518532915,3.34047324256363
5,50,5009,41,4,999999,5,0.026555396233812017,0.11867650516664438
5,50,5009,41,4,999999,7,0.004808941219214905,0.032660725780501235
5,50,5031,41,4,999999,43,0.09318851848968406,0.6057164782717933
5,50,5033,41,4,999999,5,4.5695063640704,18.761924074255976
5,50,5033,41,4,999999,7,0.3530706303364679,2.116440521942865
5,50,5035,41,4,999999,43,0.006705168631770541,0.04358295630919543
5,50,5041,41,4,999999,43,0.004192480621031666,0.027250723996381152
5,50,5045,41,4,999999,5,0.011542100336840298,0.04425607292068761
5,50,5045,41,4,999999,43,0.0004061336778423395,0.0026398301532979647
5,50,5051,41,4,999999,5,0.0776952480689804,0.2979082198026543
5,50,5051,41,4,999999,7,0.008252897301783552,0.0494710258292575
5,50,5063,41,4,999999,43,0.05768770427898093,0.3749645733376167
5,50,5091,41,4,999999,5,0.46595011051962104,1.9131433243421616
5,50,5091,41,4,999999,7,0.03600242260740946,0.21581230367934973
5,50,5111,41,4,999999,43,0.0035071284763426346,0.022796000451194457
5,50,5115,41,4,999999,5,2.5910485394743614,9.92934505396533
5,50,5115,41,4,999999,7,0.2741345357538617,1.6432673524290622
5,50,5119,41,4,999999,5,1.7934399534056582,6.875178875756568
5,50,5119,41,4,999999,43,0.06318889184038186,0.4107217675715097
5,50,5125,41,4,999999,5,0.012262765202962876,0.04701933055454297
