210112051,Pizzicletta,35.197084400000001,-111.654331700000000,203 W Phoenix Ave,400523620,4005,86001,5
210112052,Oregano's Pizza Bistro,35.197153800000002,-111.687162599999990,1061 S Plaza Way suite c,400523620,4005,86001,5
210112053,Oregano's Pizza Bistro,35.197153800000002,-111.687162599999990,980 N Country Club D,400523620,4005,86004,5
210112054,Famous Pizza & Beer - Flagstaff,35.197351400000002,-111.649966400000000,104 East Rte 66,400523620,4005,86001,5
210112055,Alpine Pizza,35.197931400000002,-111.651359400000000,7 N Leroux St,400523620,4005,86001,5
210112056,Whole Foods,35.190146900000002,-111.631053400000000,1851 E Butler Ave,400523620,4005,86001,5
210112057,Dollartree,35.189684800000002,-111.680490000000010,1300 S Plaza Wa,400523620,4005,86001,5
210112058,Big Lots,35.213259000000001,-111.612225000000000,2560 E 7th Ave,400523620,4005,86004,5
210112059,Cost Plus World Market,35.222641000000003,-111.572334000000000,5005 E Marketplace Dr Suite 120,400523620,4005,86004,5
210112060,Whole Foods,35.191597999999999,-111.643388000000000,320 S Cambridge Lane,400523620,4005,86001,5
210112061,Mountain View Market,35.238590000000002,-111.482401000000000,6990 Lumberjack Blvd,400523620,4005,86004,5
210112062,Pilot Flying J Travel Center,35.238807000000001,-111.821959000000010,12500 West I-40,400590000,4005,86015,5
210112063,Parks Feed and Mercantile,35.257446999999999,-111.939481000000000,518 N Parks Rd,400590001,4005,86018,5
210112064,Navajo Trading Post & Food,35.808906000000000,-111.443547000000000,NULL,400590002,4005,86020,5
210112065,Speedy's Truckstop,35.850513999999997,-111.427978999999990,US-8,400590002,4005,86020,5
210112066,McAlister's deli,35.855350999999999,-111.423231000000000,465 Hwy 89N & AZ-6,400590002,4005,86020,5
210112067,Burger King,35.855598999999998,-111.423143000000000,465 Hwy 89N & AZ-6,400590002,4005,86020,5
210112068,Navajo Trail Trading Post,35.855271999999999,-111.423368999999990,465 Hwy 89N & AZ-6,400590002,4005,86020,5
210112069,Simpson's Market,35.853288999999997,-111.425452000000010,465 US-8,400590002,4005,86020,5
210112070,Cameron Trading Post,35.875641000000002,-111.413576000000010,466 US-8,400590002,4005,86020,5
210112071,Cameron Convenience Shop,35.874510999999998,-111.413072000000000,NULL,400590002,4005,86020,5
210112072,Shell,35.874487999999999,-111.412813000000000,US-8,400590002,4005,86020,5
210112073,Desert View Market and Deli,36.042744999999996,-111.825246000000010,AZ-6,400590003,4005,86023,5
210112074,Desert View Trading Post,36.043208999999997,-111.825809000000010,Desert View Roa,400590003,4005,86023,5
210112075,Cliff Dwellers Restaurant,36.743895999999999,-111.753378000000000,1408 Us Hwy 89,400590004,4005,86036,5
210112076,Chevron,36.816299999999998,-111.639444999999990,US-89,400590004,4005,86036,5
210112077,Marble Canyon Restaurant,36.816521999999999,-111.638260000000000,US-89,400590004,4005,86036,5
210112078,Sinclair/Gas Express 525,36.303829000000000,-111.460122000000000,498 N US-8,400590002,4005,86020,5
210112079,Tonalea Genertal Store,36.318340999999997,-110.946613000000000,US-160,400590005,4005,86044,5
210112080,Sinclair,36.318652000000000,-110.946834999999990,US-160,400590005,4005,86044,5
