state_orig,dms_orig,county_orig,dms_dest,county_dest,state_dest,naics_dest1,sctg2,tons_2012,value_2012
1,19,1015,49,4025,4,999999,7,0.0017471699030703859,0.0007209531231752003
1,19,1031,49,4005,4,999999,7,0.0015235173558330525,0.0006286650164756259
1,19,1031,49,4025,4,999999,7,0.0023918497092541274,0.0009869741431683696
1,19,1039,49,4025,4,999999,7,0.00024236263221310127,0.00010000864616997616
1,19,1055,49,4025,4,999999,7,0.010499231355385894,0.004332408441389863
1,19,1061,49,4005,4,999999,7,0.0001411837699668556,5.8258146343053734e-05
1,19,1061,49,4025,4,999999,7,0.0002216517966491938,9.146251590689916e-05
1,19,1069,49,4005,4,999999,7,0.005008536508391676,0.0020667251833472785
1,19,1069,49,4025,4,999999,7,0.007863163846161033,0.00324466013463588
1,19,1081,49,4005,4,999999,7,0.00013584202877906057,5.60539274026023e-05
1,19,1081,49,4025,4,999999,7,0.00021326551732128143,8.80019971201155e-05
1,19,1083,49,4015,4,999999,7,0.00018084536728315791,7.462412907035196e-05
1,19,1089,49,4015,4,999999,7,0.00037122125419648816,0.00015318093685774258
1,19,1089,49,4025,4,999999,7,0.00039133573185261343,0.00016148098567482494
1,19,1101,49,4025,4,999999,7,0.018819332299789163,0.007765619344610659
1,19,1103,49,4015,4,999999,7,0.010539554803334324,0.004349047530515954
1,19,1103,49,4025,4,999999,7,0.01111063643511224,0.0045846989604626
1,19,1109,49,4005,4,999999,7,0.0008335325112271533,0.00034394930119917164
1,19,1109,49,4025,4,999999,7,0.0013086063555491243,0.0005399840263858129
1,19,1125,49,4015,4,999999,7,0.002323168814239677,0.0009586336219196236
4,41,4013,49,4001,4,999999,4,0.5138377678973317,0.31677944431317673
4,41,4013,49,4001,4,999999,6,1.2413848913538799,3.6105830195069015
4,41,4013,49,4001,4,999999,7,11.746119511172836,6.006044890846951
4,41,4013,49,4001,4,999999,43,0.023305733136108186,0.426173114704081
4,41,4013,49,4005,4,999999,4,1.2473414882553358,0.810075833424073
4,41,4013,49,4005,4,999999,6,1.5313436093957806,4.307705888681909
4,41,4013,49,4005,4,999999,7,40.50003106041986,18.773256261899363
4,41,4013,49,4005,4,999999,43,0.11244332310275744,2.0527237603685444
4,41,4013,49,4015,4,999999,4,1.420323910544598,0.8516712345772278
4,41,4013,49,4015,4,999999,6,1.2013315877594368,2.994250501958784
4,41,4013,49,4015,4,999999,7,24.759089851122987,13.976428955746655
4,41,4013,49,4015,4,999999,43,0.06523506654524333,1.1929009628296499
4,41,4013,49,4025,4,999999,4,1.95681142432178,1.2689421971431758
4,41,4013,49,4025,4,999999,6,2.350534361635936,6.5674027907133885
4,41,4013,49,4025,4,999999,7,60.24307008973479,28.249403226329605
4,41,4013,49,4025,4,999999,43,0.1765306634946991,3.222678567210598
4,41,4021,49,4001,4,999999,4,0.10113854444549746,0.06052686877635004
4,41,4021,49,4001,4,999999,6,0.21939972446579592,0.6128415112788057
4,41,4021,49,4001,4,999999,7,0.7268197144734379,0.4285198558106413
4,41,4021,49,4001,4,999999,43,0.004631244438024899,0.08468919278889242
4,41,4021,49,4005,4,999999,4,0.2365538388913752,0.14858753074081157
4,41,4021,49,4005,4,999999,6,0.2949726123594351,0.8005358380957682
4,41,4021,49,4005,4,999999,7,3.000695065075766,1.806001170871356
4,41,4021,49,4005,4,999999,43,0.0193400017415321,0.35312509162742234
4,41,4021,49,4015,4,999999,6,0.02815393064482188,0.0969880738855796
4,41,4021,49,4015,4,999999,7,0.06181650069322521,0.03460036216276086
4,41,4021,49,4025,4,999999,4,0.371415495120297,0.23334796087361598
4,41,4021,49,4025,4,999999,6,0.33544855142108937,1.0002951892026135
4,41,4021,49,4025,4,999999,7,4.848090796974574,2.903808163590046
4,41,4021,49,4025,4,999999,43,0.030362881896520307,0.5543895804702216
4,49,4003,49,4001,4,999999,7,0.0008976399496750418,0.001315018205020654
4,49,4003,49,4005,4,999999,7,0.0016871383683092565,0.0024716119971249987
4,49,4005,49,4001,4,999999,7,0.8050985815978107,0.7889550685476738
4,49,4005,49,4005,4,999999,7,13.324399931474327,9.554345092313465
4,49,4005,49,4015,4,999999,7,0.8125365767494103,0.7174738162800866
4,49,4005,49,4025,4,999999,7,9.70440101826229,7.227298532413006
4,49,4015,49,4001,4,999999,6,0.00010665650710490428,0.00024753301766032815
4,49,4015,49,4001,4,999999,7,1.5125703528552035e-05,0.0011193020611128504
4,49,4015,49,4005,4,999999,6,0.00023722178259824722,0.0005551727259598547
4,49,4015,49,4005,4,999999,7,0.0008371560778294713,0.00470953032636485
4,49,4015,49,4015,4,999999,6,0.00021647080381366035,0.0005069267987437606
4,49,4015,49,4015,4,999999,7,0.0008614151318264516,0.032792455690361315
4,49,4015,49,4025,4,999999,6,0.0006006270929913884,0.0014059891742130824
4,49,4015,49,4025,4,999999,7,0.003758458331152798,0.054363777753361334
4,49,4025,49,4001,4,999999,7,0.10674138143641428,0.10417065897996518
4,49,4025,49,4005,4,999999,7,2.0225373350689884,1.7486236475431318
4,49,4025,49,4015,4,999999,7,0.7288852016082091,0.7095456790241356
4,49,4025,49,4025,4,999999,7,4.266903944740194,3.496155354091958
4,49,4027,49,4001,4,999999,6,0.0003670528793639233,0.0008518721392263418
4,49,4027,49,4025,4,999999,6,0.002971045061808652,0.006923406353693358
4,49,4027,49,4025,4,999999,7,0.012091147764692714,0.07314490236128886
5,50,5007,49,4005,4,999999,5,0.09575251436842164,0.04761533589391725
5,50,5007,49,4025,4,999999,5,0.1503268884831514,0.07475381023908963
