node_id,name,latitude,longitude,street_name,city_code,county_code,zipcode,sc_step
210112063,Parks Feed and Mercantile,35.257447,-111.939481,518 N Parks Rd,400590001,4005,86018,5
210112064,Navajo Trading Post & Food,35.808906,-111.443547,NULL,400590002,4005,86020,5
210112065,Speedys Truckstop,35.850514,-111.427979,US-8,400590002,4005,86020,5
210112066,McAlisters deli,35.855351,-111.423231,465 Hwy 89N & AZ-6,400590002,4005,86020,5
210112067,Burger King,35.855599,-111.423143,465 Hwy 89N & AZ-6,400590002,4005,86020,5
210112068,Navajo Trail Trading Post,35.855272,-111.423369,465 Hwy 89N & AZ-6,400590002,4005,86020,5
210112069,Simpsons Market,35.853289,-111.425452,465 US-8,400590002,4005,86020,5
210112070,Cameron Trading Post,35.875641,-111.413576,466 US-8,400590002,4005,86020,5
210112071,Cameron Convenience Shop,35.874511,-111.413072,NULL,400590002,4005,86020,5
210112072,Shell,35.874488,-111.412813,US-8,400590002,4005,86020,5
210112073,Desert View Market and Deli,36.042745,-111.825246,AZ-6,400590003,4005,86023,5
210112074,Desert View Trading Post,36.043209,-111.825809,Desert View Roa,400590003,4005,86023,5
210112075,Cliff Dwellers Restaurant,36.743896,-111.753378,1408 Us Hwy 89,400590004,4005,86036,5
210112076,Chevron,36.8163,-111.639445,US-89,400590004,4005,86036,5
210112077,Marble Canyon Restaurant,36.816522,-111.63826,US-89,400590004,4005,86036,5
210112078,Sinclair/Gas Express 525,36.303829,-111.460122,498 N US-8,400590002,4005,86020,5
210112079,Tonalea Genertal Store,36.318341,-110.946613,US-160,400590005,4005,86044,5
210112080,Sinclair,36.318652,-110.946835,US-160,400590005,4005,86044,5
210112081,Havasupai Trading Company (Market),36.23673,-112.688505,NULL,400590006,4005,86435,5
210112082,Havasupai Tribal Cafe,36.236617,-112.688877,NULL,400590006,4005,86435,5
210112083,The Sinyella Store,36.232336,-112.69112,Hualapai Hill Top Trai,400590006,4005,86435,5
210112084,Kaibieto Market,36.585977,-111.091983,NULL,400590007,4005,86053,5
210112085,Tuvi,36.118418,-111.229201,AZ-264,402785540,4005,86045,5
210112086,76,36.118575,-111.22921,160 AZ-264,402785540,4005,86045,5
210112087,Tesla Destination Charger,36.119162,-111.228101,1 Legacy Ln,402785540,4005,86045,5
210112088,Tuba City Express,36.1193,-111.229657,NULL,402785540,4005,86045,5
210112089,Speedway #3010,36.119977,-111.229394,NULL,402785540,4005,86045,5
210112090,Chevron,36.121963,-111.224901,"US-160 &, AZ-264, Tuba City, AZ ",402785540,4005,86045,5
210112091,Ferrellgas,36.124563,-111.236105,"105 S, Main St",402785540,4005,86045,5
210112092,7-Eleven,36.124862,-111.23681,417 Main St,402785540,4005,86045,5
210112093,Kaibeto Market Gas Station,36.585847,-111.091922,NULL,400590007,4005,86053,5
