465,O'Brien,Iowa,19,141,19141,-95.634966875999993,43.085577730399997
1185,Queen Anne's,Maryland,24,035,24035,-76.006593679600002,39.083170544700003
1225,Prince George's,Maryland,24,033,24033,-76.849812967700004,38.829384767599997
1377,St. Mary's,Maryland,24,037,24037,-76.607562207900003,38.304635209200001
