state_orig,dms_orig,county_orig,dms_dest,state_dest,naics_orig,sctg2,tons_2012,value_2012,test
1.0,11,1043,486,48.0,311,6,0.0079683408371193,0.08728744434875985,0.09525578518587914
1.0,11,1043,486,48.0,311,7,0.13970445872576456,0.5144086803660908,0.6541131390918553
1.0,11,1073,486,48.0,311,6,0.04010486489827265,0.43931995812920765,0.4794248230274803
1.0,11,1073,486,48.0,311,7,0.7592291200450795,2.7955732644477944,3.554802384492874
1.0,11,1117,486,48.0,311,6,0.005428638252764861,0.059466828674094176,0.06489546692685903
1.0,11,1117,486,48.0,311,7,0.09774657601378124,0.35991469160089146,0.4576612676146727
1.0,11,1121,486,48.0,311,6,0.006108397641728076,0.06691310400888825,0.07302150165061633
1.0,11,1121,486,48.0,311,7,0.10790569795927356,0.3970440607388343,0.5049497586981079
1.0,19,1015,486,48.0,311,5,0.7955253284422025,1.5669738981448953,2.3624992265870977
1.0,19,1015,486,48.0,311,7,0.00041740980727054933,0.004548258189102226,0.004965667996372776
1.0,19,1031,486,48.0,311,5,1.9762815002938114,4.566616745261412,6.542898245555223
1.0,19,1031,486,48.0,311,7,0.0009744688995266123,0.010618188828094796,0.011592657727621409
1.0,19,1039,486,48.0,311,5,0.12450720500138668,0.2849780661016894,0.4094852711030761
1.0,19,1039,486,48.0,311,7,6.423612308168052e-05,0.0006999415628321914,0.0007641776859138719
1.0,19,1053,486,48.0,311,5,0.0015182440031593575,0.00668643653525245,0.008204680538411807
1.0,19,1055,486,48.0,311,5,4.7805336262409,9.416383292524792,14.196916918765691
1.0,19,1055,486,48.0,311,7,0.002508331976666372,0.027331752285506834,0.029840084262173206
1.0,19,1061,486,48.0,311,5,0.18606946321241072,0.42971042457596303,0.6157798877883738
1.0,19,1061,486,48.0,311,7,9.046011199210257e-05,0.0009856882564537063,0.0010761483684458089
1.0,19,1069,486,48.0,311,5,5.573864464862553,10.919212217517929,16.493076682380483
1.0,19,1069,486,48.0,311,7,0.0031900091061737215,0.03475956910389777,0.03794957821007149
